"Metric name","Metric description","GeForce RTX 3090(0)","GeForce RTX 3090(1)"
"l1tex__t_sectors_pipe_lsu_mem_global_op_st_lookup_miss","# of sector requests to T-Stage that missed for global stores","1","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_ld","# of sectors requested for local loads","1","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for local loads","1","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_ld_lookup_miss","# of sector requests to T-Stage that missed for local loads","1","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_st","# of sectors requested for local stores","1","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for local stores","1","1"
"l1tex__t_sectors_pipe_lsu_mem_local_op_st_lookup_miss","# of sector requests to T-Stage that missed for local stores","1","1"
"l1tex__t_sectors_pipe_tex","# of sectors requested for TEX pipe","1","1"
"l1tex__t_sectors_pipe_tex_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for TEX pipe","1","1"
"l1tex__t_sectors_pipe_tex_lookup_miss","# of sector requests to T-Stage that missed for TEX pipe","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface","# of sectors requested for surface","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for surface","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_lookup_miss","# of sector requests to T-Stage that missed for surface","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_atom","# of sectors requested for surface atomics","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for surface atomics","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_atom_lookup_miss","# of sector requests to T-Stage that missed for surface atomics","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_ld","# of sectors requested for surface loads","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for surface loads","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_ld_lookup_miss","# of sector requests to T-Stage that missed for surface loads","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_red","# of sectors requested for surface reductions","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for surface reductions","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_miss","# of sector requests to T-Stage that missed for surface reductions","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_st","# of sectors requested for surface stores","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for surface stores","1","1"
"l1tex__t_sectors_pipe_tex_mem_surface_op_st_lookup_miss","# of sector requests to T-Stage that missed for surface stores","1","1"
"l1tex__t_sectors_pipe_tex_mem_texture","# of sectors requested for texture","1","1"
"l1tex__t_sectors_pipe_tex_mem_texture_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for texture","1","1"
"l1tex__t_sectors_pipe_tex_mem_texture_lookup_miss","# of sector requests to T-Stage that missed for texture","1","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_ld","# of sectors requested for TLD instructions","1","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for TLD instructions","1","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_ld_lookup_miss","# of sector requests to T-Stage that missed for TLD instructions","1","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_tex","# of sectors requested for TEX instructions","1","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_tex_lookup_hit","# of sector requests to T-Stage with tag-hit and data-hit for TEX instructions","1","1"
"l1tex__t_sectors_pipe_tex_mem_texture_op_tex_lookup_miss","# of sector requests to T-Stage that missed for TEX instructions","1","1"
"l1tex__t_set_accesses","# of cache set accesses","1","1"
"l1tex__t_set_accesses_pipe_lsu","# of cache set accesses for LSU pipe local/global","1","1"
"l1tex__t_set_accesses_pipe_lsu_mem_global_op_atom","# of cache set accesses for global atomics","1","1"
"l1tex__t_set_accesses_pipe_lsu_mem_global_op_ld","# of cache set accesses for global loads","1","1"
"l1tex__t_set_accesses_pipe_lsu_mem_global_op_red","# of cache set accesses for global reductions","1","1"
"l1tex__t_set_accesses_pipe_lsu_mem_global_op_st","# of cache set accesses for global stores","1","1"
"l1tex__t_set_accesses_pipe_lsu_mem_local_op_ld","# of cache set accesses for local loads","1","1"
"l1tex__t_set_accesses_pipe_lsu_mem_local_op_st","# of cache set accesses for local stores","1","1"
"l1tex__t_set_accesses_pipe_tex","# of cache set accesses for TEX pipe","1","1"
"l1tex__t_set_accesses_pipe_tex_mem_surface","# of cache set accesses for surface","1","1"
"l1tex__t_set_accesses_pipe_tex_mem_surface_op_atom","# of cache set accesses for surface atomics","1","1"
"l1tex__t_set_accesses_pipe_tex_mem_surface_op_ld","# of cache set accesses for surface loads","1","1"
"l1tex__t_set_accesses_pipe_tex_mem_surface_op_red","# of cache set accesses for surface reductions","1","1"
"l1tex__t_set_accesses_pipe_tex_mem_surface_op_st","# of cache set accesses for surface stores","1","1"
"l1tex__t_set_accesses_pipe_tex_mem_texture","# of cache set accesses for texture","1","1"
"l1tex__t_set_accesses_pipe_tex_mem_texture_op_ld","# of cache set accesses for TLD instructions","1","1"
"l1tex__t_set_accesses_pipe_tex_mem_texture_op_tex","# of cache set accesses for TEX instructions","1","1"
"l1tex__t_set_conflicts","# of extra cycles spent on set conflicts","1","1"
"l1tex__t_set_conflicts_pipe_lsu","# of extra cycles spent on set conflicts for LSU pipe local/global","1","1"
"l1tex__t_set_conflicts_pipe_lsu_mem_global_op_atom","# of extra cycles spent on set conflicts for global atomics","1","1"
"l1tex__t_set_conflicts_pipe_lsu_mem_global_op_ld","# of extra cycles spent on set conflicts for global loads","1","1"
"l1tex__t_set_conflicts_pipe_lsu_mem_global_op_red","# of extra cycles spent on set conflicts for global reductions","1","1"
"l1tex__t_set_conflicts_pipe_lsu_mem_global_op_st","# of extra cycles spent on set conflicts for global stores","1","1"
"l1tex__t_set_conflicts_pipe_lsu_mem_local_op_ld","# of extra cycles spent on set conflicts for local loads","1","1"
"l1tex__t_set_conflicts_pipe_lsu_mem_local_op_st","# of extra cycles spent on set conflicts for local stores","1","1"
"l1tex__t_set_conflicts_pipe_tex","# of extra cycles spent on set conflicts for TEX pipe","1","1"
"l1tex__t_set_conflicts_pipe_tex_mem_surface","# of extra cycles spent on set conflicts for surface","1","1"
"l1tex__t_set_conflicts_pipe_tex_mem_surface_op_atom","# of extra cycles spent on set conflicts for surface atomics","1","1"
"l1tex__t_set_conflicts_pipe_tex_mem_surface_op_ld","# of extra cycles spent on set conflicts for surface loads","1","1"
"l1tex__t_set_conflicts_pipe_tex_mem_surface_op_red","# of extra cycles spent on set conflicts for surface reductions","1","1"
"l1tex__t_set_conflicts_pipe_tex_mem_surface_op_st","# of extra cycles spent on set conflicts for surface stores","1","1"
"l1tex__t_set_conflicts_pipe_tex_mem_texture","# of extra cycles spent on set conflicts for texture","1","1"
"l1tex__t_set_conflicts_pipe_tex_mem_texture_op_ld","# of extra cycles spent on set conflicts for TLD instructions","1","1"
"l1tex__t_set_conflicts_pipe_tex_mem_texture_op_tex","# of extra cycles spent on set conflicts for TEX instructions","1","1"
"l1tex__t_texels","# of valid texel queries at L1TEX T-Stage","1","1"
"l1tex__tex_writeback_active","# of cycles where texture/surface writeback interface was active","1","1"
"l1tex__texin_cycles_stalled_on_tsl1_miss","# of cycles where TEXIN was stalled on TSL1 cache miss, requesting texture or sampler header","1","1"
"l1tex__texin_requests","# of requests sent to TEXIN","1","1"
"l1tex__texin_requests_mem_surface","# of surface requests sent to TEXIN","1","1"
"l1tex__texin_requests_mem_surface_op_atom","# of requests sent to TEXIN for surface atomic instructions (SUATOM, SUATOM.CAS)","1","1"
"l1tex__texin_requests_mem_surface_op_ld","# of requests sent to TEXIN for surface load instructions (SULD)","1","1"
"l1tex__texin_requests_mem_surface_op_null","# of requests sent to TEXIN for null surface instructions","1","1"
"l1tex__texin_requests_mem_surface_op_red","# of requests sent to TEXIN for surface reduction instructions (SURED)","1","1"
"l1tex__texin_requests_mem_surface_op_st","# of requests sent to TEXIN for surface store instructions (SUST)","1","1"
"l1tex__texin_requests_mem_texture","# of texture requests (quads) sent to TEXIN","1","1"
"l1tex__texin_requests_mem_texture_op_null","# of requests sent to TEXIN for null texture instructions","1","1"
"l1tex__texin_sm2tex_req_cycles_active","# of cycles where interface carrying requests from SM to L1TEX TEXIN-Stage was active","1","1"
"l1tex__texin_sm2tex_req_cycles_stalled","# of cycles where interface carrying requests from SM to L1TEX TEXIN-Stage was stalled","1","1"
"l1tex__throughput","L1TEX Throughput","1","1"
"l1tex__throughput_internal_activity","L1TEX Throughput, internal activity","1","1"
"lts__average_gcomp_input_sector_compression_rate","average compression rate achieved by all data","1","1"
"lts__average_gcomp_input_sector_success_rate","average # of sectors compressed by GC","1","1"
"lts__average_gcomp_output_sector_compression_achieved_rate","average compression rate achieved by compressible data","1","1"
"lts__cycles_active","# of cycles where LTS was active","1","1"
"lts__cycles_elapsed","# of cycles elapsed on LTS","1","1"
"lts__cycles_in_frame","# of cycles in user-defined frame","1","1"
"lts__cycles_in_region","# of cycles in user-defined region","1","1"
"lts__d_atomic_input_cycles_active","# of cycles where the atomic unit's input was active","1","1"
"lts__d_sectors","# of sectors accessed in data banks","1","1"
"lts__d_sectors_fill_device","# of sectors filled from device memory","1","1"
"lts__d_sectors_fill_sysmem","# of sectors filled from system memory","1","1"
"lts__gcomp_input_sectors","# of sectors sent to GC","1","1"
"lts__gcomp_output_sectors","# of sectors output by GC","1","1"
"lts__lts2xbar_cycles_active","# of cycles where interface from LTS to XBAR was active","1","1"
"lts__t_bytes","# of bytes requested","1","1"
"lts__t_bytes_equiv_l1sectormiss","# of bytes requested","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_lsu","# of bytes requested for LSU pipe local/global","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_atom","# of bytes requested for global atomics","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_ld","# of bytes requested for global loads","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_red","# of bytes requested for global reductions","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_global_op_st","# of bytes requested for global stores","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_ld","# of bytes requested for local loads","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_st","# of bytes requested for local stores","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_tex","# of bytes requested for TEX pipe","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface","# of bytes requested for surface","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_atom","# of bytes requested for surface atomics","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_ld","# of bytes requested for surface loads","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_red","# of bytes requested for surface reductions","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_st","# of bytes requested for surface stores","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture","# of bytes requested for texture","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture_op_ld","# of bytes requested for TLD instructions","1","1"
"lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture_op_tex","# of bytes requested for TEX instructions","1","1"
"lts__t_request_hit_rate","proportion of L2 requests that hit","1","1"
"lts__t_requests","# of LTS requests","1","1"
"lts__t_requests_aperture_device","# of LTS requests accessing device memory (vidmem)","1","1"
"lts__t_requests_aperture_device_lookup_hit","# of LTS requests accessing device memory (vidmem) that hit","1","1"
"lts__t_requests_aperture_device_lookup_miss","# of LTS requests accessing device memory (vidmem) that missed","1","1"
"lts__t_requests_aperture_device_op_atom","# of LTS requests accessing device memory (vidmem) for all atomics","1","1"
"lts__t_requests_aperture_device_op_atom_dot_alu","# of LTS requests accessing device memory (vidmem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_aperture_device_op_atom_dot_alu_lookup_hit","# of LTS requests accessing device memory (vidmem) for atomic ALU (non-CAS) that hit","1","1"
"lts__t_requests_aperture_device_op_atom_dot_cas","# of LTS requests accessing device memory (vidmem) for atomic CAS","1","1"
"lts__t_requests_aperture_device_op_atom_dot_cas_lookup_hit","# of LTS requests accessing device memory (vidmem) for atomic CAS that hit","1","1"
"lts__t_requests_aperture_device_op_atom_lookup_hit","# of LTS requests accessing device memory (vidmem) for all atomics that hit","1","1"
"lts__t_requests_aperture_device_op_atom_lookup_miss","# of LTS requests accessing device memory (vidmem) for all atomics that missed","1","1"
"lts__t_requests_aperture_device_op_membar","# of LTS requests accessing device memory (vidmem) for memory barriers","1","1"
"lts__t_requests_aperture_device_op_membar_lookup_hit","# of LTS requests accessing device memory (vidmem) for memory barriers that hit","1","1"
"lts__t_requests_aperture_device_op_membar_lookup_miss","# of LTS requests accessing device memory (vidmem) for memory barriers that missed","1","1"
"lts__t_requests_aperture_device_op_read","# of LTS requests accessing device memory (vidmem) for reads","1","1"
"lts__t_requests_aperture_device_op_read_lookup_hit","# of LTS requests accessing device memory (vidmem) for reads that hit","1","1"
"lts__t_requests_aperture_device_op_read_lookup_miss","# of LTS requests accessing device memory (vidmem) for reads that missed","1","1"
"lts__t_requests_aperture_device_op_red","# of LTS requests accessing device memory (vidmem) for reductions","1","1"
"lts__t_requests_aperture_device_op_red_lookup_hit","# of LTS requests accessing device memory (vidmem) for reductions that hit","1","1"
"lts__t_requests_aperture_device_op_red_lookup_miss","# of LTS requests accessing device memory (vidmem) for reductions that missed","1","1"
"lts__t_requests_aperture_device_op_write","# of LTS requests accessing device memory (vidmem) for writes","1","1"
"lts__t_requests_aperture_device_op_write_lookup_hit","# of LTS requests accessing device memory (vidmem) for writes that hit","1","1"
"lts__t_requests_aperture_device_op_write_lookup_miss","# of LTS requests accessing device memory (vidmem) for writes that missed","1","1"
"lts__t_requests_aperture_peer","# of LTS requests accessing peer memory (peermem)","1","1"
"lts__t_requests_aperture_peer_lookup_hit","# of LTS requests accessing peer memory (peermem) that hit","1","1"
"lts__t_requests_aperture_peer_lookup_miss","# of LTS requests accessing peer memory (peermem) that missed","1","1"
"lts__t_requests_aperture_peer_op_atom","# of LTS requests accessing peer memory (peermem) for all atomics","1","1"
"lts__t_requests_aperture_peer_op_atom_dot_alu","# of LTS requests accessing peer memory (peermem) for atomic ALU (non-CAS)","1","1"
"lts__t_requests_aperture_peer_op_atom_dot_alu_lookup_hit","# of LTS requests accessing peer memory (peermem) for atomic ALU (non-CAS) that hit","1","1"
